Product Number,Manufacturer,,Machine Type:,Machine Subcategory:,,Machine Title:,Machine Code:,,,,Listing Description:,,,,,Max Cut Size:,,Feature 1:,Feature 2:,Standard Features:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bomar,,Bandsaws,Manual Horizontal Bandsaw,Bomar 275.230DG,Bomar Ergonomic 275.230DG,Ergonomic 275.230DG,Bomar Ergonomic 275.230DG,     ,,   A simple and easy to use manual bandsaw. Two way mitring up to 60 degrees and a quick release vice.,   A simple and easy to use manual bandsaw. Two way mitring up to 60 degrees and a quick release vice.,Bomar 275.230DG,,,275,0,Swing head for easy mitre cutting,Quick lock vice,"<ul><li>Heavy duty one-piece cast bow</li><li>Precision control hydraulic downfeed</li><li>Substantial vices, quick set lever operation</li><li>Bow rotates 45-90-60&deg;</li><li>Easy to read mitre scale</li><li>Carbide blade guide pads and rollers</li><li>Heavy duty blade tensioning unit</li><li>Heavy duty, 3 phase motor</li><li>Re-circulating coolant pump</li><li>Adjustable guide arm</li><li>Heavy duty gear train</li><li>Blade speed: 35 &amp; 70 m/min</li><li>500mm length stop included</li></ul>",,,,Y,,,Y,,Y,Y,NULL,,,,,,NULL,NULL,,,,,,NULL,N,11,27/09/2019 13:05,27/09/2019 13:05,N,N,N,N,N,N,N,N,Y
64,Bomar,,Bandsaws, Automatic Horizontal Bandsaw,Bomar 290.250GANC ,Bomar Ergonomic 290.250GANC ,Ergonomic 290.250GANC,Bomar Ergonomic 290.250GANC ,,, Automatic bandsaw with NC controls ideal for sections and small solid material , Automatic bandsaw with NC controls ideal for sections and small solid material ,,,"The Bomar Ergonomic 290.250GANC is an automatic bandsaw with NC controls ideal for sections and small solid material. Its saw bow rotates for mitre cutting to 45&deg; and this machine features a digital display showing the exact mitre angle. The hydraulic downfeed control benefits from an automatic cutting control. The feeding length is 600 mm.
",290,0,Pivot action,Digital display of the exact mitre angle,"<ul><li>NC controls, 99 lines for programming, fault diagnostics</li><li>Saw bow rotates for mitre cutting to 45&deg;</li><li>Digital display of the exact mitre angle</li><li>Hydraulic downfeed control with automatic cutting control</li><li>600mm single pass feed length, multiple feed standard</li></ul>",,"<p><strong>A powerful band saw automatic for angular cuts in the range of 0&deg; - 60&deg; with a heavy saw frame of vibration-proof cast alloy, with a powerful industrial engine and a spiral gearing running in an oil bath.</strong></p><p>Precise hard metal saw band guides, saw head pivot embedded in pre- stressed conical bearings, a 27mm saw band and a synchronic swarf brush are the prerequisites for excellent cutting performance. The machine is equipped with an automatic cutting pressure regulation system. The feeding length is 600 mm in one step and it is measured by a linear measuring system with high resolution (precise piece lengths). The floating vice is guided by two hardened guides bars with linear ball-recirculation bearings. The consistent roller conveyor provides for simple material feeding and it is a safe basis also for short pieces. Angular cuts can be up to 45&deg; in the automatic cycle, up to 60&deg; in the semi- automatic mode. The performance of the hydraulic drive is so high that short auxiliary times can be achieved with the double pump and the proportional valve control. An advanced CNC control with simple dialogue-guided operation and a four-lines illuminated text display enable saving of several combinations of lengths and numbers as well as repeated feeds up to 6000 mm. The Bomar Ergonomic 290.250GANC is prepared for the use of a swarf remover and a broad range of accessories as roller conveyors and stops, minimum-amount lubrication system, LaserLiner, bundle-clamping device, smooth speed regulation are available.</p>",,,,,,,,,NULL,,,,,,NULL,NULL,N,N,N,N,Y,NULL,Y,36,05/11/2018 12:53,NULL,N,N,N,N,N,N,N,N,Y
7,Bomar,,Bandsaws,Manual Horizontal Bandsaw,Bomar 320.250DG,Bomar Ergonomic 320.250DG,Ergonomic 320.250DG,Bomar Ergonomic 320.250DG,    ,,  Manual Mitre Cutting Bandsaw with Quick Release Vice.,  Manual Mitre Cutting Bandsaw with Quick Release Vice.,,,,320,0,Swing head for easy mitre cutting,Quick lock vice,"<ul><li>Heavy duty one-piece cast bow</li><li>Hydraulic-powered bow raise with selectable return height</li><li>Hydraulic control of downfeed rate with adjustable back-off valve</li><li>Substantial hydraulic vice with minimal opening for repetitive cut</li><li>+45&deg; to -60&deg; mitring bow, with easy to read mitre scale</li><li>Tungsten carbide blade guide pads and roller bearings</li><li>Heavy duty blade tensioning unit</li><li>Recirculating coolant pump</li><li>Swarf brush assembly for cleaning blade</li><li>Selectable blade speeds of 40 &amp; 80 m/min</li></ul>",,,,Y,,,Y,,Y,Y,NULL,,,,,,NULL,NULL,,,,,,NULL,N,10,27/09/2019 13:03,30/07/2019 13:21,N,N,N,N,N,N,N,N,Y
3229,Bomar,,Bandsaws,Manual Horizontal Bandsaw,Bomar-Ergonomic-320-258DG,Bomar Ergonomic 320.258DG,Ergonomic 320.258DG,Bomar Ergonomic 320.258DG,   ,,   Manual Mitre Cutting Bandsaw with Turntable Bed,   Manual Mitre Cutting Bandsaw with Turntable Bed,HEADING,,,320,0,Continuously variable blade speed,Quick-set vice,"<p>&bull;&nbsp;&nbsp; &nbsp;Heavy duty one-piece cast bow &nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Precision control hydraulic downfeed<br />&bull;&nbsp;&nbsp; &nbsp;Bow rotates 45-90-60&deg; with stops every 15&deg;<br />&bull;&nbsp;&nbsp; &nbsp;Turntable bed with easy to read mitre scale<br />&bull;&nbsp;&nbsp; &nbsp;Substantial vices, quick set lever operation &nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Carbide blade guide pads and rollers<br />&bull;&nbsp;&nbsp; &nbsp;Heavy duty blade tensioning unit with indicator<br />&bull;&nbsp;&nbsp; &nbsp;Heavy duty, 3 phase motor<br />&bull;&nbsp;&nbsp; &nbsp;Re-circulating coolant pump<br />&bull;&nbsp;&nbsp; &nbsp;Adjustable guide arm<br />&bull;&nbsp;&nbsp; &nbsp;Heavy duty gear train<br />&bull;&nbsp;&nbsp; &nbsp;Blade speed: variable from 20 to 120 m/min<br />&bull;&nbsp;&nbsp; &nbsp;500mm length stop included</p>",,,,Y,,,Y,,Y,Y,NULL,,,,,,NULL,NULL,,,Y,,Y,NULL,N,2,03/01/2020 11:47,03/01/2020 11:47,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Bomar,,Bandsaws,Semi-Automatic Horizontal Bandsaw,Bomar 320.250DGH ,Bomar Ergonomic 320.250DGH ,Ergonomic 320.250DGH,Bomar Ergonomic 320.250DGH ,   ,,     Quickset mitre bandsaw with semi-automatic operation. Easy head return setting from control panel and mitre cuts in both directions.,     Quickset mitre bandsaw with semi-automatic operation. Easy head return setting from control panel and mitre cuts in both directions.,,,,320,0,Automatic bow return,Hydraulic vice,"<ul><li>Heavy duty one-piece cast bow</li><li>Hydraulic-powered bow raise with selectable return height</li><li>Hydraulic control of downfeed rate with adjustable back-off valve</li><li>Substantial hydraulic vice with minimal opening for repetitive cut</li><li>+45&deg; to -60&deg; mitring bow, with easy to read mitre scale</li><li>Tungsten carbide blade guide pads and roller bearings</li><li>Heavy duty blade tensioning unit</li><li>Recirculating coolant pump</li><li>Swarf brush assembly for cleaning blade</li><li>Selectable blade speeds of 40 &amp; 80 m/min</li></ul>",,,,Y,,,Y,,Y,Y,NULL,,,,,,NULL,NULL,,,,,,NULL,N,54,02/01/2020 17:47,02/01/2020 17:13,N,N,N,N,N,N,N,N,Y
3232,Bomar,,Bandsaws,Semi-Automatic Horizontal Bandsaw,Bomar-Ergonomic-320-258DGH,Bomar Ergonomic 320.258DGH,Ergonomic 320.258DGH,Bomar Ergonomic 320.258DGH,       ,,"       Quickset two-way mitre bandsaw with semi-automatic operation, automatic downfeed regulation, a turntable vice bed and continuously variable blade speed.","       Quickset two-way mitre bandsaw with semi-automatic operation, automatic downfeed regulation, a turntable vice bed and continuously variable blade speed.","Small, Compact and Quick Set Mitre with Hydraulic Vices and Bow Lift",,,320,0,Automatic bow return,Hydraulic vice,"<p>&bull;&nbsp;&nbsp; &nbsp;Heavy duty one-piece cast bow &nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Hydraulic-powered bow raise with selectable return height<br />&bull;&nbsp;&nbsp; &nbsp;Hydraulic control of downfeed rate with adjustable back-off valve<br />&bull;&nbsp;&nbsp; &nbsp;Bow rotates 45-90-60&deg; with stops every 15&deg;<br />&bull;&nbsp;&nbsp; &nbsp;Turntable bed with easy to read mitre scale<br />&bull;&nbsp;&nbsp; &nbsp;Substantial vices with short stroke hydraulic cylinder&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Tungsten carbide blade guide pads and roller bearings<br />&bull;&nbsp;&nbsp; &nbsp;Heavy duty blade tensioning unit with indicator<br />&bull;&nbsp;&nbsp; &nbsp;400V, 3 phase motor<br />&bull;&nbsp;&nbsp; &nbsp;Recirculating coolant pump<br />&bull;&nbsp;&nbsp; &nbsp;Adjustable guide arm</p>",,,,Y,,,Y,,Y,Y,NULL,,,,,,NULL,NULL,,,Y,,Y,NULL,N,0,03/01/2020 11:26,03/01/2020 11:26,N,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Bomar,,Circular Saws,Automatic Circular Saws,Bomar AL 500A ,Bomar AL500A ,AL500A,Bomar AL500A Aluminium Saw,     ,"Bomar AL500A, Bomar AL500A, Bomar AL500A, Bomar AL500A, Bomar AL500A, Bomar AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL500A, AL 500A, AL 500A, AL 500A, AL 500A, AL 500 A, AL 500 A, AL 500 A, AL 500 A, AL-500A, AL-500A, AL-500A, AL-500-A, AL-500-A, AL-500-A",   Vice Feed Automatic Aluminium Profile Saw. Fully programable with ball-screw feeding for high accuracy and speed.,   Vice Feed Automatic Aluminium Profile Saw. Fully programable with ball-screw feeding for high accuracy and speed.,,,,180,0,Designed for high-volume straight cutting of aluminium profiles,"500 mm Ã˜ saw blade running at 3,000 rpm","<p>&bull;&nbsp;&nbsp; &nbsp;Vibration-free cutting<br />&bull;&nbsp;&nbsp; &nbsp;Large work table<br />&bull;&nbsp;&nbsp; &nbsp;NC Controls<br />&bull;&nbsp;&nbsp; &nbsp;Precise variable control of the blade feed &amp; the cutting height<br />&bull;&nbsp;&nbsp; &nbsp;Blade fully retracts at end of cut<br />&bull;&nbsp;&nbsp; &nbsp;Accurate, ball screw material feed<br />&bull;&nbsp;&nbsp; &nbsp;500mm single pass feed length<br />&bull;&nbsp;&nbsp; &nbsp;Multiple material pass up to 9999mm&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Twin pneumatic clamps securely hold irregular shaped components both sides of the blade<br />&bull;&nbsp;&nbsp; &nbsp;Mist spray lubrication with volume control&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Noise reducing, interlocked safety hood encloses cutting area&nbsp;<br />&bull;&nbsp;&nbsp; &nbsp;Safety guards mounted on the hood to inhibit access to the blade<br />&bull;&nbsp;&nbsp; &nbsp;Large door at the side of the machine allows for easy blade change<br />&bull;&nbsp;&nbsp; &nbsp;Twin ports fitted to allow for connection of a swarf extractor<br />&bull;&nbsp;&nbsp; &nbsp;500mm Tungsten carbide tipped blade, 3000rpm</p>",,,,,,Y,Y,,Y,,NULL,,,,,,NULL,NULL,,,Y,,Y,NULL,N,2,29/11/2018 12:33,29/11/2018 12:33,N,N,N,N,N,N,N,Y,N
13,Bomar,,Bandsaws,Semi-Automatic Horizontal Bandsaw,Bomar Transverse 610.440DGH ,Bomar Transverse 610.440DGH ,Transverse 610.440DGH,Bomar Transverse 610.440DGH,     ,"Bomar Transverse 610.440DGH, Bomar Transverse 610.440DGH, Bomar Transverse 610.440DGH, Bomar Transverse 610.440DGH, 610.440DGH, 610.440DGH, 610.440DGH, 610-440DGH, 610-440DGH, 610-440DGH, 610 440 DGH, 610 440 DGH, 610 440 DGH, 610 440 DGH, 610 440 DGH, 610.440.DGH, 610.440.DGH, 610.440.DGH, 610.440.DGH","        Semi-automatic bandsaw designed for fast, accurate cutting of section material with double mitre","        Semi-automatic bandsaw designed for fast, accurate cutting of section material with double mitre",,,"The Bomar Transverse 610.440DGH is a semi-automatic double angle band saw for angular cuts in the range of -60Â° to +60Â°. It features a 34mm, 1 Â¼â€ blade for fast accurate cutting of section material. It also benefits from an automatic cutting control, a variable blade speed and a laser illuminated cutting line.",610,0,Pivot action,Angular cuts in the range of -60Â° to +60Â°,"<ul><li>Fast set up, saw bow rotates, material remains stationary</li><li>Easy mitre past 45&deg; to 60&deg;</li><li>34mm, 1 &frac14;&rdquo; blade for fast accurate cutting</li><li>Automatic cutting control</li><li>Variable blade speed</li><li>Laser illuminated cutting line</li></ul>",,"<p><strong>A universally applicable, semi-automatic double angle band saw for angular cuts in the range of -60&deg; to +60&deg;, satisfying the highest demands due to its comprehensive equipment.</strong></p><p>The standard equipment of the machine already includes a high-performance saw band drive with smooth speed regulation, precise hard metal saw band guides, automatic cutting pressure regulation, a digital angle display, a digital saw band speed display, a powered swarf brush, a free positioning control panel, a hydraulic full-travel vice, an electronic saw band tension and fracture monitoring device, saw frame height adjustment through a Memory function on the control panel, a big driving and transition wheel for longest possible saw band lifetime, a big, high-performance hydraulic set as well as modern control with simple handling and a text diagnosis of the machine on an illuminated display. The machine can be extended by a rich offer of options as roller conveyors and stops, minimum-amount lubrication system, LaserLiner and a bundle-clamping device.</p>",,Y,,,,,,Y,NULL,,,,,,NULL,NULL,,,,,,NULL,N,43,02/01/2020 17:48,19/11/2018 17:03,N,N,N,N,N,N,N,N,Y
69,Bomar,,Circular Saws,Semi-Auto Circular Saws,Bomar AL 500 ,Bomar AL500 ,AL500,Bomar AL500 ,   ,"Bomar AL500, Bomar AL500, Bomar AL500, Bomar AL500, Bomar AL500, Bomar AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL500, AL 500, AL 500, AL 500, AL 500, AL 500, AL 500, AL 500, AL 500, AL-500, AL-500, AL-500, AL-500, AL-500, AL-500, AL-500", Semi-Automatic Non Ferrous Upstroking Saw. Manual Mitre facility and 4 point clamping as standard.        , Semi-Automatic Non Ferrous Upstroking Saw. Manual Mitre facility and 4 point clamping as standard.        ,,,,175,0,Designed for straight & mitre cutting of aluminium profiles,"500 mm Ã˜ saw blade running at 3,000 rpm","<ul><li>Very heavy duty</li><li>Vibration free cutting</li><li>Large work table</li><li>Precise variable control of the blade feed</li><li>Blade rises from beneath saw bed and fully retracts at end of cut</li><li>Mitre cutting is achieved by rotating the saw bed up to 60&deg; both left and right, with material stationary</li><li>2 vertical &amp; 2 horizontal pneumatic clamps securely hold irregular shaped components</li><li>Adjustable back fence to give increased capacity</li><li>Cutting height set by variable control</li><li>Mist spray lubrication with adjustable level</li><li>Noise reducing, interlocked safety hood encloses cutting area</li><li>Input &amp; output extensions guards mounted on the hood, inhibit access to the blade</li><li>Large door at the front of the machine for easy blade change and cleaning</li><li>Large, removable swarf tray</li></ul>",,,,Y,,Y,,,Y,,NULL,,,,,,NULL,NULL,,,Y,,Y,NULL,N,8,06/11/2018 17:33,06/11/2018 17:33,N,N,N,N,N,N,N,Y,N
14,Bomar,,Bandsaws,Automatic Horizontal Bandsaw,Bomar 290.250GAE ,Bomar Ergonomic 290.250GAE ,Ergonomic 290.250GAE,Bomar Ergonomic 290.250GAE ,   ,"Bomar Ergonomic 290.250GAE, Bomar Ergonomic 290.250GAE, Bomar Ergonomic 290.250GAE, Bomar Ergonomic 290.250GAE, 290.250GAE, 290.250GAE, 290.250GAE, 290.250GAE, 290 250 GAE, 290 250 GAE, 290 250 GAE, 290 250 GAE, 290.250.GAE, 290.250.GAE, 290.250.GAE, 290.250.GAE, 290. 250GAE",     Automatic mitre bandsaw designed for cutting sections and small solid material ,     Automatic mitre bandsaw designed for cutting sections and small solid material ,,,"The Bomar Ergonomic 290.250GAE is an automatic mitre bandsaw designed for cutting sections and small solid material. Its robust, one piece cast iron bow rotates to 45Â°. This machine also features a heavy duty hydraulic vice and a hydraulic downfeed control with an automatic cutting control.
",290,0,Mitre cutting,Pivot action,"<ul><li>Robust, one piece cast iron bow which rotates to 45&deg; for heavy duty hydraulic vices</li><li>500mm feed stroke with automatic multi-feed facility for longer</li><li>Hydraulic downfeed control with automatic cutting control</li></ul>",,"<p><strong>A powerful automatic band saw&nbsp;for angular cuts, suitable for the workshop, with a heavy saw frame of vibration-proof cast alloy, with a powerful industrial engine and a spiral gearing running in an oil bath.</strong></p><p>Precise hard metal saw band guides, saw head pivot embedded in pre- stressed conical bearings, a 27mm saw band and a synchronic swarf brush are the prerequisites for excellent cutting performance. The feeding length is 500 mm in one step, in case of more feeding steps, the length being set is shown on the display. The number of feed repetitions will be calculated by the control unit based on the total length input and taken over. The vice of the feeding unit opens on both sides thus preventing collisions with not straight materials. Simple dialogue-guided operation with a four-lines illuminated text display. Angular cuts can be up to 45&deg; in the automatic cycle, up to 60&deg; in the semi-automatic mode. The machine is prepared for the use of a swarf remover and a broad range of accessories as roller conveyors and stops, minimum-amount lubrication system, LaserLiner, bundle-clamping device, smooth speed regulation are available.</p>",,,,,,,,,NULL,,,,,,NULL,NULL,,,,,,NULL,N,56,30/07/2019 13:00,19/11/2018 17:05,N,N,N,N,N,N,N,N,Y
